,Canada,Mexico,Argentina,Colombia,Austria,Belgium,Finland,France,Germany,Italy,Netherlands,Poland,Portugal,Spain,Sweden,United Kingdom,Other Europe,Australia,China,India,Indonesia,South Korea,Thailand,Other Asia Pacific
1990,0.0,0.0,0.0,0.0,0.0002656030731889988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1991,0.0,0.0,0.0,0.0,0.0002948043277376198,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1992,0.0,0.0,0.0,0.0,0.00032651431238088106,0.0,0.0,0.00027338361667878674,0.00018493618069815194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.157825890919989e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1993,0.0,0.0,0.0,0.0,0.00037533332866951136,0.0,0.0,0.0013599788835798453,0.00018494432476953785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00015351066778329254,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994,0.0,0.0,0.0,0.0,0.00026464266540154765,0.0,0.0,0.003995196720580321,0.0010354282560706403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002930223496026692,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1995,0.0,0.0,0.0,0.0,0.0004724202763044471,0.0,0.0,0.006313461065463001,0.001294130075040142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000662993342914758,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1996,0.0,0.0,0.0,0.0,0.0004633202079858172,0.0,0.0,0.009469673585945367,0.002032759019139498,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009183023584827775,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1997,0.0,0.0,0.0,0.0,0.0005486968612827056,0.0,0.0,0.012393706194560873,0.0033249443050517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0013485783460267682,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998,0.0,0.0,0.0,0.0,0.0005613154055036174,0.0,0.0,0.01067955603974624,0.003693777590918647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0014674528428022034,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999,0.0,0.0,0.0,0.0,0.000660715073421662,0.0,0.0,0.011128500075542842,0.00480934127636264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0018393247166844711,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000,0.0,0.0,0.0,0.0,0.0007126072972234084,0.0,0.0,0.013277753182042308,0.009249348603017554,0.0,0.0,0.0,0.0,0.002971001538714668,0.0,0.0,0.002503816225685133,0.0,0.0,0.001036140824434,0.0,0.0,0.0,0.0
2001,0.0,0.0,0.0,0.0,0.0008174637870485775,0.0,0.0,0.013447896092962073,0.012949357171222451,0.0,0.0,0.0,0.0,0.0029584970885112396,0.0,0.0,0.003111507016821937,0.0,0.000190496479390328,0.00120036992189,0.0,0.0,0.0,0.0
2002,0.0,0.003303818393369998,0.0,0.0,0.0008457438695306607,0.0,2.8301174020767213e-05,0.014101441721837894,0.020348220531654422,0.0,0.0,0.0,0.0,0.005934816143197337,0.0,6.5117916234e-05,0.0027465740910541043,0.0,0.0016001947846158823,0.0011203659636730002,0.0,0.0,0.0,0.0
2003,0.0,0.0032588684832561207,0.0,0.0,0.0008776807961729281,0.0,0.00016980704412460329,0.012946961823281262,0.02915595575174549,0.0,0.0,0.0012452047500610354,0.0,0.00818076472631513,0.0,0.0006837381204200001,0.0026080290003788666,0.0,0.005823431355550328,0.00120611713683,0.0,0.0,0.0,0.0
2004,0.0,0.003326293348426937,0.0,0.0,0.0008947474874077108,0.0,0.0001981082181453705,0.014118979878149848,0.03896078461370774,0.00991365882447659,0.0,0.0005943192161560059,0.0,0.0075012666673980564,0.0,0.0006186202042600001,0.0013679849408393323,0.0,0.02000163792579113,0.001381727459072,0.0,0.000251208,0.00014150000000000002,0.0
2005,0.0,0.003685892629337958,0.0,2.8179195825750986e-05,0.003404,0.0,0.0,0.023937023296928588,0.07214041666757746,0.006957946197079458,0.0,0.0021447546806812284,0.0,0.01084856986650964,0.006411369952130826,0.0030195396293780006,0.0009231892527898774,0.00028792664923444255,0.030041490827077882,0.0015995242913340003,0.0,0.000544284,0.0014999,6.158834203332867e-05
2006,0.018328715087728056,0.003753317494508774,0.0,0.0002774636711173892,0.0122285,0.0,2.8314172589778898e-05,0.029038647937590884,0.11524351528397939,0.007841460104698666,0.0017174101001739505,0.0038955131851196294,0.0029821260000000003,0.007274257067167908,0.007492835524772218,0.007538941832410001,0.007121218119131669,0.0034063940882498667,0.03781938782024544,0.0018297541201460002,6.670566660899425e-05,0.002219004,0.00283,0.0005194081666575862
2007,0.022397848485270006,0.0036184677641671417,0.0,0.00033148618406241345,0.0142690503,0.0,5.6587490606307985e-05,0.058479124698492146,0.1308154134653332,0.007118343372689506,0.01387358256072998,0.004190546943283082,0.005648753,0.0066229089516703765,0.00824177782488987,0.014675880522870001,0.01750183355970577,0.012989485663525433,0.04891936114249292,0.0018896938574820001,0.001481683887083745,0.004019328,0.0061254000000000005,0.0028879713589049
2008,0.030347212352934354,0.003730842539451836,0.0,0.00047485831228144846,0.0174357483,0.0,0.0032369947347640994,0.09488096678546389,0.11509694224027892,0.028856532678119454,0.012123880403137208,0.01855205232458115,0.005778483176999999,0.008542760652066425,0.013777040994319688,0.033508582969220005,0.035302226090326363,0.031146317370577586,0.05893976344900413,0.00249197030474,0.0013541160421805603,0.0074525039999999996,0.020517000000000004,0.004495325505678588
2009,0.03433148317233307,0.004045491910248978,0.0,0.000664550686258705,0.022113306200000005,0.005535029527282715,0.0053831062164306645,0.10136377013707734,0.11478650117956732,0.04654186218082163,0.015869904718017577,0.026332103533935544,0.00942249955,0.013217141369190246,0.012514024634553492,0.041614193482120004,0.04350864152147786,0.04571117916142895,0.06411493003629776,0.0007899061493469999,0.006750042895295878,0.010634472000000002,0.0271688,0.009590745556054025
2010,0.035300327786757894,0.004225291550704488,0.02146462655543773,0.0010551421684527422,0.021567139,0.015017006102752686,0.005361308907318115,0.09935872231329776,0.11527700000000002,0.0573145347234842,0.009845402807617188,0.0271378,0.013687419879,0.06020405890131373,0.02030498975115011,0.048689094102977525,0.05057429405667147,0.06897627622456312,0.0646209166802963,0.00040531521668600004,0.007340484928925933,0.014946876000000001,0.0280285,0.019558039481090354
2011,0.05514872792520589,0.003910642179907345,0.03167963176677722,0.0013085071917721181,0.0216696067,0.014848787951087952,0.007940602322387696,0.09811339024895623,0.1200765,0.05659706561667692,0.013752278810119629,0.028739599999999997,0.012863779048000002,0.07169456286287361,0.02364277860499216,0.04515396266463101,0.06140242490956929,0.07279579744961415,0.07616474342732867,0.0029471338975290006,0.011817193226387489,0.014067647999999999,0.030228900000000003,0.02131705737523663
2012,0.0646259437649752,0.004517465966444692,0.03915588873560749,0.0013395309717671555,0.0214458915,0.01466667375984192,0.007897083657836914,0.10733181356230818,0.1278467,0.06316188898849487,0.01426793069000244,0.0317821,0.011698386795341142,0.08835749545999992,0.027639780135221927,0.03823633729162995,0.06953785387961943,0.06482497376829612,0.08809385382418648,0.0022944291438479997,0.022021454786777795,0.015072480000000001,0.0395597,0.02728185484093954
2013,0.07267336585496674,0.004517465966444692,0.0434141788631918,0.0013864271623501999,0.0188661109,0.014509404241323472,0.0086803817817688,0.10928274142355998,0.1145155,0.053004092874908454,0.01363019747161865,0.030963800000000003,0.011540596282511709,0.03844995238,0.02712627132516939,0.0436271681816003,0.08532114751590233,0.06145392956449846,0.10211595158523554,0.0026998572485370004,0.03449698746867434,0.015449292,0.05151479999999999,0.034452118950678165
2014,0.07671192450091852,0.006989711022707956,0.050798404648166214,0.0014200747741185803,0.0234122231,0.017370227296543122,0.01833089737701416,0.11779670500343035,0.12002430000000001,0.04518361452007294,0.015954720126342775,0.0294358,0.011595689282511711,0.040534064242000005,0.035971525918720326,0.049693936299520784,0.08167205898000746,0.058918085726006535,0.1354058963172437,0.002320063849804,0.060731814770710074,0.016579728,0.0627617,0.042717817818734946
2015,0.07483532910542372,0.007416735168789794,0.055419690653783875,0.0015140934471035141,0.027864289100000005,0.010887116253423692,0.018306901029968264,0.11884800557285,0.1125609,0.05579401646327973,0.013699962202453612,0.0276034,0.014709914417999997,0.04152644530999999,0.04302748332932419,0.03989396709088795,0.08367737769709345,0.05350656318238546,0.0813628388220703,0.004204733105552,0.03011903008953914,0.018463788000000002,0.06939424123189587,0.05150123028295751
2016,0.07580875192739653,0.007866234269928567,0.05881895986706224,0.0014224303101376635,0.0231128986,0.018285031355190277,0.006743293553161621,0.11954737313550001,0.11280250000000001,0.0555023860736847,0.010990070672607424,0.018643,0.011823393272460937,0.046897136350000014,0.05565006090934293,0.04036930942509492,0.0970855509587002,0.04566541692464805,0.09427985196685826,0.00690711090972,0.09901425410856148,0.018547524000000003,0.07078926169228006,0.055490137565484585
2017,0.07850409782715818,0.008315733371067344,0.06762343195672013,0.0013874947529802734,0.0201754848,0.01984313897018433,0.014722384436798096,0.12051943446140001,0.1147351,0.056255284540557865,0.0170975,0.025670900000000003,0.010684056755500795,0.05499737300999999,0.06296512879521059,0.03987225840461275,0.11151513416200547,0.0515635685413762,0.09691413384291897,0.004249915850615,0.08466245397846411,0.017919504,0.07834311084419945,0.05729137869720735
