,Canada,Mexico,US,Argentina,Bolivia,Brazil,Colombia,Peru,Trinidad & Tobago,Venezuela,Denmark,Germany,Italy,Netherlands,Norway,Poland,Romania,Ukraine,United Kingdom,Other Europe,Azerbaijan,Kazakhstan,Russian Federation,Turkmenistan,USSR,Uzbekistan,Other CIS,Bahrain,Iran,Iraq,Kuwait,Oman,Qatar,Saudi Arabia,Syria,United Arab Emirates,Yemen,Other Middle East,Algeria,Egypt,Libya,Nigeria,Other Africa,Australia,Bangladesh,Brunei,China,India,Indonesia,Malaysia,Myanmar,Pakistan,Thailand,Vietnam,Other Asia Pacific
1982,2.6008965,1.0386832003006343,17.394835086487888,0.34274790000000005,0.10165550400000001,0.04693328697345131,0.11712960000000004,0.027564075,0.13655250000000005,0.6346846800000001,0.0,0.5983290000000001,0.4944267,2.2850000000000006,0.8560921220100001,0.15580080000000002,1.2402848952,,1.329434604,0.6812174033279998,,,,,17.074187227257262,,,0.128911572,0.24296768931734666,0.023256000000000002,0.125685,0.029994120000000006,0.18834930000000003,0.41098139999999994,0.0017729999999999998,0.33344999999999997,0.0,0.0015687444286080002,0.8391603240000001,0.0925155,0.11456999999999999,0.0873981,0.036762490404,0.42113100714839996,0.06362944858462499,0.2932254,0.4328584070796459,0.09336442500000001,0.6971831999999999,0.09960397200000001,0.015916500000000004,0.25671239999999995,0.05000964741669947,0.0006600600000000001,0.2773327801185246
1983,2.4462486000000006,1.0474619868334016,15.756256961325295,0.4600314000000001,0.09759430800000002,0.06346577453097343,0.1286838,0.018156600000000002,0.14147010000000004,0.6249744000000002,0.0,0.6613668,0.4433382,2.4330000000000003,0.84367719756,0.1523205,1.2307912074,,1.3708001880000003,0.6727079301480001,,,,,18.267709402120463,,,0.13510803600000001,0.2776791958666241,0.016074,0.137997,0.037255140000000006,0.19505610000000004,0.4013028,0.0026910000000000007,0.293436,0.0,0.0022224694930560005,1.2016534680000004,0.1084545,0.126882,0.09907740000000001,0.036977216400000006,0.45746935385040005,0.0708018659964,0.3058263,0.44301769911504413,0.1110879,0.7954758,0.240196716,0.021222,0.25310520000000003,0.05887211657915255,0.0022754700000000004,0.29089640863999067
1984,2.6811351000000005,1.0302970136158407,17.099437594714953,0.47193480000000004,0.093868056,0.07386700842477875,0.13082670000000002,0.0245322,0.14823360000000002,0.6913080000000001,0.00870696,0.6498917999999999,0.4692213,2.4630000000000005,0.9276435193500001,0.1673082,1.2220019982,,1.3400690760000002,0.6778472949000001,,,,,20.030712157561247,,,0.13921110000000003,0.3232393757887699,0.020177999999999998,0.14965920000000002,0.046823400000000015,0.22095180000000003,0.6224400000000001,0.0045449999999999996,0.3861,0.0,0.0019406239562880004,1.2231317520000002,0.13929299999999997,0.15732,0.0953154,0.036082345752000006,0.45114214956370924,0.08172238662472502,0.3094767,0.45099999999999996,0.12722613750000003,1.072449,0.3648796200000001,0.022636800000000006,0.2597184,0.0878861525276596,0.0019801800000000002,0.31960704876881635
1985,2.898492552,0.9994956311790354,16.123724368840435,0.48628890000000013,0.09303069600000002,0.09266222054867254,0.13344300000000003,0.019126800000000003,0.15174720000000003,0.6923269800000001,0.042108660000000006,0.6158772,0.4830921,2.579,0.93561341742,0.17302320000000002,1.1680255188,1.460955752212389,1.4951481480000002,0.6855586509632922,0.49381964601769907,0.16825529223457963,15.295724070796457,2.8343495575221236,,1.1785088495575222,0.025906194690265484,0.16994221200000004,0.3487117707579246,0.029069999999999995,0.14364,0.05961501000000001,0.20343960000000005,0.6429600000000001,0.0054,0.46437300000000004,0.0,0.0018261242069760005,1.3441721400000004,0.17082449999999996,0.17784,0.09028800000000001,0.03731691477600001,0.4822294440612996,0.09280970765797503,0.30170205,0.46914159292035396,0.1556218125,1.180242,0.40314697200000005,0.032540400000000004,0.2651292,0.11552861586769182,0.0012332700000000003,0.349034267180612
1986,2.7185454900000003,0.8878179281002478,15.706322011865472,0.5430051000000001,0.09474728400000001,0.10791736359292033,0.1300554,0.020287575,0.15528420000000004,0.7621970400000001,0.07141959000000002,0.5045454,0.5413545000000001,2.358,0.9321850881900001,0.1570833,1.1820312243000004,1.3526106194690262,1.5719340600000005,0.6296355283853098,0.4773238938053096,0.17960388965802632,16.65241592920353,2.8857964601769908,,1.3151327433628317,0.02880530973451327,0.19456059600000003,0.3349970895095683,0.053009999999999995,0.195966,0.06969222,0.21610800000000002,0.86184,0.013653900000000002,0.5342220000000001,0.0,0.0013691038400640003,1.374819516,0.196812,0.19151999999999997,0.10530180000000001,0.040061958624,0.5267854125090109,0.10465253640765,0.30249180000000003,0.4992566371681415,0.2174408775,1.2281094000000001,0.5421906000000003,0.03784590000000001,0.2843676,0.13478338517897379,0.00128538,0.3670578913145427
1987,2.946834594,0.9024156486998065,16.2713215128483,0.5304015000000002,0.09910155600000001,0.12054482649557521,0.13704930000000004,0.020166299999999998,0.1644966,0.74273652,0.09102901500000002,0.5662998,0.5548256999999999,2.3620000000000005,1.0058311567800002,0.15781320000000001,1.1234085408,1.2129203539823006,1.645705476,0.6381673718213097,0.438716814159292,0.19462227809612032,18.019701769911503,3.0016371681415928,,1.356017699115044,0.02880530973451327,0.18903401999999997,0.41010361012150165,0.12825,0.16347600000000004,0.07807293000000001,0.20902860000000004,0.9165599999999999,0.0134433,0.592839,0.0,0.0015599367555840001,1.5516280800000004,0.21760200000000002,0.171,0.1042758,0.03981561303600001,0.5378205270712284,0.1229613337953,0.3017898,0.5039734513274335,0.25047722699999997,1.3121513999999999,0.5862357360000003,0.042090300000000004,0.3045078,0.18831164386433763,0.00128538,0.3659680025031793
1988,3.402967032,0.9141562305421395,16.710752486475698,0.6287796000000001,0.10475373600000001,0.1213112332035398,0.13215870000000002,0.01902285,0.18933930000000002,0.76035888,0.08990311500000002,0.5269833000000002,0.5639067,2.0850000000000004,1.0122155361,0.15661800000000003,1.1001272004000002,1.1038938053097345,1.5848294040000004,0.6150110548446373,0.41765840707964597,0.22000242939910036,19.526033628318583,3.0084513274336278,,1.3594247787610616,0.025398230088495573,0.200798928,0.4452288358159503,0.19152000000000002,0.23392800000000002,0.07856491500000001,0.21834360000000003,0.99522,0.031800600000000005,0.609336,0.0,0.001431736181568,1.6220919240000002,0.23977800000000002,0.1881,0.12536010000000003,0.04778618230800001,0.550776203809632,0.14472388074374998,0.3135483,0.5173982300884955,0.293417586,1.4330988000000002,0.6052019400000002,0.036784800000000006,0.32284440000000003,0.22319495552126456,0.00097272,0.38435215503673503
1989,3.6153695790000007,0.8775532523714152,16.94688474786175,0.6648399000000003,0.11048965200000001,0.12437686003539819,0.133569,0.016129575,0.18970109999999998,0.7807384800000001,0.11529216000000002,0.5515290000000002,0.5764059000000001,2.279,1.02679912863,0.1450215,0.9862029468000001,1.0493805309734512,1.5520048920000007,0.6327625106239648,0.38958053097345124,0.20692687149817254,20.38679469026548,3.0629646017699113,,1.400309734513274,0.025398230088495573,0.20887945200000002,0.562206069,0.22059,0.279072,0.08153379000000001,0.23101200000000005,1.01916,0.05205330000000001,0.7153379999999999,0.0,0.004265737499898001,1.7489938320000002,0.268191,0.23255999999999996,0.1451448,0.043779052512000004,0.6374723029739173,0.15299521847032502,0.3072654,0.546025663716814,0.34885654650000003,1.5076404,0.6550248600000003,0.038553300000000006,0.34418699999999997,0.22297022862464522,0.00114642,0.21964717668237635
1990,3.7241203140000003,0.9499010286285859,17.40160537989415,0.6245784000000001,0.112917996,0.11323848887076104,0.1412856,0.015436575,0.1966815,0.87774138,0.11773161000000001,0.5408865,0.5873976,2.2830000000000004,0.9103807842300001,0.0995589,0.9592299,0.9573893805309734,1.7137409760000002,0.5857462957079648,0.3474637168141592,0.2193856578,21.5852389380531,2.8527345,,1.325016,0.021698854867256635,0.21876029999999996,0.889849341,0.13611600000000001,0.14329800000000004,0.08811621000000001,0.23473800000000006,1.1463840000000003,0.05731830000000001,0.705861,0.0,0.005524439605182001,1.8596509560000003,0.27962549999999997,0.21203999999999998,0.13820220000000003,0.108207478908,0.7420012936265701,0.16467124681507503,0.31328505,0.5550601769911503,0.41733846,1.6034337750231362,0.648409716,0.0300645,0.3676338,0.24299518870837844,0.0013896000000000002,0.28687086362884756
1991,3.9196281780000004,0.9633274817766805,17.3091011423984,0.6977493000000001,0.11224810800000001,0.11772218708569906,0.13990140000000004,0.0144837,0.19926595661850005,0.8752039200000001,0.1479176412714,0.55423016208,0.5907987,2.5812000000000004,0.89421513876,0.11129400000000002,0.8397665999999999,0.8313274336283185,1.9080922320000004,0.5910515107964602,0.30183716814159284,0.22487811299999996,21.287283185840703,2.7411615,,1.3613985,0.020445279646017698,0.20854450800000002,1.0511888309999997,0.059508000000000005,0.0171,0.08933769000000001,0.2842938000000001,1.202814,0.0669006,0.835731,0.0,0.0053336066896620005,2.0053097280000003,0.314622,0.223668,0.13481639999999998,0.106010100468,0.7767539995645981,0.1695869528661,0.318006,0.5620265486725664,0.464788863,1.760731623318213,0.76995252,0.030418200000000003,0.3970926,0.30114459202845,0.0025012800000000003,0.29300011930596975
