,Canada,Mexico,US,Brazil,Colombia,Venezuela,Bulgaria,Czech Republic,Germany,Greece,Hungary,Poland,Romania,Serbia,Spain,Turkey,Ukraine,United Kingdom,Other Europe,Kazakhstan,Russian Federation,USSR,Uzbekistan,Other CIS,South Africa,Zimbabwe,Other Africa,Australia,China,India,Indonesia,Japan,Mongolia,New Zealand,Pakistan,South Korea,Thailand,Vietnam,Other Asia Pacific
1981,0.969542041248288,0.071145,18.419095810623237,0.12147861198239995,0.115278346368,0.0015281819999999999,0.19799285799490327,1.7863955630999997,6.232198867630201,0.145610037648,0.30062670757789534,4.312166739437582,0.38867069232,,0.5048025310145521,0.29027084882319365,,3.266038943999998,1.43334639447156,,,14.500242878710198,,,3.13428369744,0.07747991596800001,0.06388842281263345,2.838856324204449,13.012574400000002,2.6702775738000004,0.009868455072000001,0.46327339746,0.081914742,0.052101777248338435,0.029345616144,0.3659514408000001,0.019058942438938083,0.14004638344138093,1.1766573603101234
1982,1.028279025341759,0.085547,18.68169921234035,0.13390216642440014,0.127735248672,0.0015281819999999999,0.2177339113853292,1.8052055994599998,6.25937901387372,0.1525753656,0.3013263935933664,5.031742182640544,0.40120848360000005,,0.54214893485046,0.3126317317498512,,3.184856892000002,1.511220168870378,,,14.621616818096781,,,3.4673818210560006,0.07478026732800001,0.05320181273793408,2.897835495445598,13.948324199999998,2.643281808480001,0.014555971231200001,0.455206229352,0.09374475474,0.05267702611720833,0.033295987548,0.37057534272,0.02219827302232848,0.14704870261345,1.2377233681782915
1983,1.0660110797929827,0.108636,17.286391117923543,0.14286231198360008,0.14598149054400003,0.0012225456000000002,0.21893666966821643,1.834634826,5.91433412399424,0.16649647560000003,0.2890537209899617,5.124589636463174,0.46536282000000007,,0.5507312745889441,0.32906113694964007,,3.0436361280000024,1.52844336576202,,,14.608034561680382,,,3.5042104211040006,0.08989829971200002,0.04863334738011481,3.0194665875523268,14.957343000000002,2.79661328406,0.016036239492,0.42720373864799993,0.09475440156,0.05841562705730082,0.034236552168000006,0.36587775312000004,0.021094092730249564,0.14704870261345,1.2497230982515262
1984,1.3964001582835008,0.11836100000000001,19.764630537384043,0.16034107573440012,0.19173576204000004,0.0015281819999999999,0.21852729339997523,1.86165768924,5.9861804908035605,0.18097443000000002,0.2823580444448211,5.133878076185932,0.4583490926400001,,0.5453718987818881,0.36887973827077797,,1.2861430919999997,1.5628175727231024,,,14.44949360402241,,,3.9239578457640003,0.083959072704,0.05451332616321409,3.1713023592355296,16.5211128,2.9342324941200006,0.0362665723896,0.41505464988,0.10346022414000001,0.06030287299802721,0.043454085444,0.39367643040000005,0.026419865555578327,0.1167053195344841,1.2795164291585572
1985,1.4871319779337164,0.12143999999999999,19.36967301659538,0.16363386833040014,0.25924916808,0.0012225456000000002,0.208637947518458,1.8388806598799998,6.22301572431072,0.20255621169600005,0.27448132050152885,5.170694224481004,0.47190511368,,0.5407671583382401,0.44529169917402,3.9023479750932646,2.368556496,1.8459190193217827,2.39781301704,7.779311749691995,,0.06229905450185435,0.11740775284800001,4.176611338464,0.083959072704,0.055507973322133086,3.867644413314752,18.260728200000003,3.0301529086800003,0.04934227536,0.40256333208,0.12426275862000002,0.0576527192478564,0.041196730355999994,0.41528534256,0.062485266968082,0.1307099578786222,1.3270676794694716
1986,1.382118009298877,0.13152699999999998,19.554397470551354,0.15516628304400007,0.31018033404,0.0018338184,0.23753332783974787,1.8350300599200002,6.008577704553241,0.21167916516000002,0.2596739408947216,5.257753429134931,0.49052716272,,0.55408122315954,0.47564267729153764,3.996877992963489,2.7462058560000004,1.870253112933321,2.51881823592,8.045916298470518,,0.07052723151153323,0.12408783411600001,4.2595541910720005,0.10933576992,0.057278337167485094,4.114294310573343,18.714996,3.2595330268800002,0.0638982465912,0.39233049980400003,0.13458782610000003,0.06011451937192306,0.03856314942,0.44678682576,0.06362306037885468,0.1423804898320706,1.3096221573632314
1987,1.3939360468404733,0.145985,20.187490170756686,0.14135356510919997,0.42160489848,0.0073352736,0.2481200542993099,1.82485425186,5.817838442362561,0.24991367590080002,0.2577876312426899,5.315066304510778,0.52746478704,,0.481230931755384,0.5111709544435392,3.95247787590056,2.6455970520000007,1.743542796072756,2.6019345895200003,8.111131230096941,,0.05877269292627769,0.11428678652399998,4.245847277760001,0.130393029312,0.05454945332563068,4.297203164773459,19.428845400000004,3.5729434733400005,0.0747535471704,0.31291033698000004,0.1479227841,0.0522890513438631,0.045335214684,0.44717368608,0.08122730691115017,0.14704870261345,1.2777536845001651
1988,1.614194993654399,0.13033699999999998,20.785399026647223,0.15398374231800016,0.43625158092,0.032703094800000006,0.23027913976981604,1.7812133514,5.772955845460681,0.2632166760564,0.2375709018836868,5.314288442312714,0.5807099973600001,,0.45585881230276803,0.4640302271504088,3.929927431587849,2.650370004,1.5892034701297468,2.61005865624,8.37178026585959,,0.06464996221890545,0.12268424574716659,4.36228218576,0.13687218604800003,0.05459886109384705,4.223856644528654,20.513226600000003,3.79848793158,0.1107734081832,0.26682581070000005,0.16394378363999998,0.05883902249039922,0.05079048948,0.44756054640000004,0.08631740286203791,0.1423804898320706,1.2507188441254153
1989,1.7184000192019666,0.140023,21.409371771309715,0.13897251938879995,0.54605836584,0.0644892804,0.2311769800616754,1.7054668124999999,5.508399830606684,0.29815047696240005,0.22721398433720397,4.905202603569925,0.586630844316,,0.48767816652786006,0.5346414524137968,3.6941727865004186,2.5490075760000006,1.627846960622331,2.5187185900799998,8.053128701406795,,0.07287813922858434,0.1182352467812799,4.231973562336,0.13795204550400003,0.05249583395462268,4.588840801103748,22.0686228,4.130738275860001,0.21463889781599998,0.24156069170400002,0.1532567673,0.06673063961251217,0.051166715328000004,0.38289960720000005,0.11051708171271617,0.11903942592517379,1.2298858802656059
1990,1.6731010726604068,0.141757,22.539338172049515,0.07063456244471998,0.59129841456,0.065711826,0.21314454516,1.5194105627029184,5.235054788159034,0.2980373580000003,0.20553947316422894,4.1850064625639165,0.345990043558851,,0.476583443665056,0.49080983378093657,3.6344862919999996,2.3631555239999984,1.5822727444661608,2.3895290480544,7.769073809520002,,0.07640450080416099,0.103287351168,4.19303581992,0.1484806752,0.05489717262318901,4.804564365988449,22.606270722,4.450199909800003,0.26472130730640003,0.191382144912,0.13634042058000004,0.06272544736530487,0.053047844568,0.3243786102,0.1497819751663569,0.11903942592517379,1.1574763993820842
